attack_type,right_elbow_angle,right_shoulder_angle,right_hip_angle,right_knee_angle,right_ankle_angle,left_elbow_angle,left_shoulder_angle,left_hip_angle,left_knee_angle,left_ankle_angle
0,170.0,17.0,65.0,170.0,143.0,7.0,35.0,149.0,180.0,170.0
0,168.0,15.0,66.0,173.0,141.0,9.0,36.0,148.0,178.0,171.0
0,155.0,11.0,68.0,172.0,142.0,8.0,33.0,148.0,180.0,171.0
0,180.0,14.0,68.0,175.0,147.0,8.0,31.0,149.0,178.0,173.0
0,156.0,16.0,67.0,175.0,146.0,10.0,33.0,149.0,178.0,176.0
0,164.0,15.0,67.0,175.0,146.0,8.0,33.0,148.0,178.0,172.0
0,162.0,14.0,67.0,176.0,149.0,8.0,34.0,149.0,179.0,174.0
0,164.0,14.0,66.0,175.0,147.0,10.0,33.0,149.0,179.0,175.0
0,176.0,13.0,65.0,175.0,146.0,10.0,34.0,149.0,179.0,175.0
0,70.0,12.0,65.0,173.0,145.0,10.0,34.0,150.0,180.0,175.0
0,144.0,12.0,66.0,173.0,145.0,11.0,34.0,151.0,178.0,176.0
0,147.0,12.0,66.0,173.0,145.0,10.0,34.0,150.0,179.0,174.0
0,144.0,11.0,66.0,173.0,145.0,10.0,35.0,150.0,178.0,175.0
0,147.0,11.0,66.0,172.0,146.0,10.0,34.0,150.0,178.0,174.0
0,158.0,11.0,66.0,171.0,145.0,10.0,34.0,151.0,178.0,176.0
0,157.0,11.0,66.0,170.0,146.0,9.0,34.0,151.0,178.0,175.0
0,159.0,12.0,66.0,170.0,147.0,10.0,34.0,150.0,179.0,174.0
0,159.0,11.0,65.0,170.0,146.0,9.0,33.0,150.0,179.0,173.0
0,158.0,11.0,65.0,170.0,147.0,8.0,34.0,150.0,179.0,172.0
0,157.0,10.0,65.0,170.0,148.0,8.0,34.0,150.0,178.0,173.0
0,155.0,9.0,65.0,170.0,149.0,8.0,34.0,150.0,178.0,173.0
0,155.0,9.0,65.0,171.0,149.0,8.0,34.0,150.0,178.0,173.0
0,156.0,10.0,65.0,171.0,149.0,8.0,34.0,150.0,178.0,173.0
0,156.0,9.0,65.0,171.0,149.0,8.0,34.0,150.0,179.0,173.0
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,148.0,50.0,43.0,135.0,120.0,94.0,41.0,172.0,162.0,174.0
0,165.0,64.0,60.0,146.0,129.0,128.0,116.0,178.0,168.0,118.0
0,160.0,58.0,61.0,150.0,122.0,175.0,6.0,167.0,172.0,176.0
0,166.0,54.0,59.0,150.0,119.0,173.0,8.0,167.0,169.0,171.0
0,170.0,53.0,60.0,151.0,120.0,164.0,19.0,167.0,169.0,172.0
0,178.0,50.0,60.0,152.0,120.0,177.0,15.0,167.0,170.0,173.0
0,169.0,48.0,62.0,154.0,120.0,171.0,16.0,167.0,170.0,166.0
0,171.0,45.0,63.0,155.0,122.0,155.0,20.0,168.0,169.0,173.0
0,163.0,40.0,64.0,158.0,127.0,169.0,19.0,170.0,168.0,170.0
0,173.0,31.0,65.0,161.0,127.0,160.0,20.0,168.0,170.0,171.0
0,164.0,29.0,61.0,154.0,125.0,160.0,19.0,167.0,170.0,168.0
0,162.0,29.0,60.0,157.0,126.0,158.0,16.0,168.0,170.0,163.0
0,173.0,23.0,60.0,155.0,127.0,133.0,12.0,169.0,169.0,163.0
0,171.0,20.0,60.0,155.0,128.0,140.0,13.0,169.0,169.0,164.0
0,166.0,17.0,60.0,156.0,127.0,154.0,12.0,169.0,169.0,164.0
0,161.0,19.0,58.0,154.0,127.0,152.0,15.0,169.0,170.0,162.0
0,155.0,16.0,59.0,156.0,125.0,157.0,13.0,169.0,170.0,164.0
0,158.0,18.0,58.0,156.0,124.0,148.0,18.0,169.0,170.0,164.0
0,158.0,20.0,58.0,156.0,126.0,150.0,15.0,169.0,169.0,175.0
0,160.0,19.0,58.0,156.0,125.0,161.0,11.0,169.0,170.0,176.0
0,159.0,18.0,59.0,158.0,124.0,162.0,15.0,170.0,170.0,179.0
0,155.0,16.0,58.0,157.0,124.0,172.0,17.0,170.0,170.0,180.0
0,155.0,16.0,58.0,157.0,123.0,169.0,15.0,170.0,170.0,179.0
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,13.0,47.0,162.0,175.0,159.0,166.0,40.0,66.0,162.0,120.0
0,92.0,7.0,64.0,169.0,148.0,30.0,3.0,172.0,173.0,166.0
0,41.0,26.0,176.0,162.0,163.0,132.0,34.0,83.0,165.0,102.0
0,8.0,39.0,168.0,179.0,160.0,150.0,37.0,72.0,163.0,116.0
0,1.0,42.0,165.0,179.0,160.0,157.0,39.0,69.0,162.0,116.0
0,3.0,40.0,166.0,179.0,157.0,164.0,38.0,77.0,167.0,114.0
0,131.0,22.0,154.0,160.0,75.0,55.0,23.0,177.0,179.0,160.0
0,126.0,23.0,177.0,179.0,105.0,44.0,7.0,169.0,177.0,27.0
0,37.0,8.0,175.0,176.0,141.0,71.0,8.0,130.0,176.0,167.0
0,35.0,13.0,167.0,178.0,152.0,131.0,30.0,94.0,176.0,102.0
