winner,weight_class,title_fight,height_fighter1,reach_fighter1,stance_fighter1,SLpM_fighter1,Str_Acc_fighter1,SApM_fighter1,Str_Def_fighter1,TD_Avg_fighter1,TD_Acc_fighter1,TD_Def_fighter1,Sub_Avg_fighter1,win%_fighter1,height_fighter2,reach_fighter2,stance_fighter2,SLpM_fighter2,Str_Acc_fighter2,SApM_fighter2,Str_Def_fighter2,TD_Avg_fighter2,TD_Acc_fighter2,TD_Def_fighter2,Sub_Avg_fighter2,win%_fighter2,reach_diff,age_fighter1,age_fighter2
1,Welterweight,f,182.88,185.42000000000002,Orthodox,4.27,39.0,4.02,64.0,0.54,44.0,60.0,0.0,90.32258,190.5,203.2,Orthodox,3.86,46.0,2.22,56.0,2.62,46.0,60.0,0.3,72.413795,-17.779999999999973,32,31
1,Featherweight,f,172.72,180.34,Orthodox,2.87,45.0,2.61,59.0,1.66,32.0,47.0,1.0,73.07692,177.8,180.34,Orthodox,3.36,37.0,2.83,53.0,2.68,35.0,57.0,1.3,78.125,0.0,36,34
1,Light Heavyweight,f,195.57999999999998,208.28,Orthodox,5.37,70.0,3.36,25.0,0.89,100.0,100.0,2.6,83.333336,185.42,193.04,Southpaw,2.3,34.0,3.29,38.0,0.0,0.0,50.0,0.3,66.666664,15.240000000000009,26,28
0,Middleweight,f,185.42,198.12,Southpaw,1.83,42.0,2.14,55.0,2.97,59.0,90.0,0.5,66.666664,180.34,190.5,Orthodox,3.49,58.0,1.67,52.0,0.81,14.0,50.0,1.6,92.30769000000001,,33,30
1,Bantamweight,f,172.72,177.8,Switch,3.23,44.0,3.93,52.0,0.78,37.0,68.0,1.3,66.666664,167.64000000000001,172.72,Southpaw,2.8,52.0,1.95,51.0,2.8,50.0,75.0,0.3,61.53846,5.0800000000000125,26,39
0,Women's Strawweight,f,172.72,162.56,Orthodox,4.03,59.0,2.51,50.0,0.74,100.0,88.0,0.0,77.77778,162.56,162.56,Orthodox,3.41,38.0,3.1,66.0,2.02,53.0,69.0,2.6,87.5,,30,31
0,Welterweight,f,182.88,190.5,Orthodox,2.22,70.0,1.35,53.0,7.17,70.0,80.0,0.0,82.35294,167.64000000000001,170.18,Orthodox,2.59,47.0,2.32,60.0,4.22,38.0,47.0,0.7,92.85714,20.319999999999993,32,37
0,Flyweight,f,177.8,180.34,Southpaw,2.16,41.0,2.5,50.0,3.03,43.0,41.0,1.2,72.413795,165.1,170.18,Orthodox,4.31,46.0,3.38,59.0,0.75,50.0,60.0,1.8,86.95652,10.159999999999997,29,28
0,Featherweight,f,180.34,177.8,Southpaw,2.3,39.0,5.22,39.0,1.87,66.0,71.0,0.9,66.666664,182.88,182.88,Orthodox,4.35,42.0,5.93,62.0,0.56,18.0,40.0,0.3,76.190475,,24,27
0,Welterweight,f,180.34,182.88,Orthodox,4.36,41.0,5.21,62.0,1.21,100.0,0.0,0.0,57.14285699999999,182.88,185.42000000000002,Orthodox,6.47,35.0,4.6,59.0,0.0,0.0,0.0,0.0,88.888885,,30,25
0,Lightweight,f,182.88,185.42000000000002,Orthodox,2.88,41.0,3.67,51.0,0.0,0.0,0.0,0.6,69.23076999999999,177.8,180.34,,4.0,42.0,3.87,58.0,5.0,100.0,100.0,0.0,76.190475,,30,22
